exp_id,FINAL_PRUNE,SEED,build_time_s,avg_degree,max_depth,allknn_recall,allknn_qps,itest_recall,itest_qps,otest_recall,otest_qps,wall_time_s
1,0,42,61.34,44.2,2.0,0.9769,7505.0,0.941,7788.0,0.904,7532.0,75.65
2,0,128,65.44,44.3,3.0,0.9771,6983.0,0.9413,7131.0,0.9051,6450.0,80.31
3,0,5,62.98,44.1,2.0,0.9768,6591.0,0.9409,7417.0,0.9041,7406.0,77.94
4,0,23,63.36,44.1,2.0,0.9766,7736.0,0.9426,6862.0,0.9053,6795.0,77.71
5,0,47,65.15,44.2,2.0,0.9766,5238.0,0.941,5587.0,0.9036,5499.0,82.88
6,1,42,74.45,43.8,2.0,0.9768,7076.0,0.9407,7412.0,0.9032,6732.0,89.78
7,1,128,68.42,43.9,3.0,0.977,7160.0,0.941,7252.0,0.9045,6807.0,83.66
8,1,5,67.88,43.7,2.0,0.9767,6295.0,0.9406,5144.0,0.9035,5251.0,84.6
9,1,23,69.23,43.8,2.0,0.9765,6885.0,0.9423,6748.0,0.9049,5722.0,84.54
10,1,47,70.12,43.8,2.0,0.9765,6560.0,0.9406,6589.0,0.903,6893.0,85.38
