exp_id,RAND,COOCKED,SEED,build_time_s,avg_degree,max_depth,allknn_bw256_recall,allknn_bw256_qps,itest_bw256_recall,itest_bw256_qps,otest_bw256_recall,otest_bw256_qps,wall_time_s
1,0,0,42,66.56,44.0,2.0,0.9975,1350.0,0.9966,1367.0,0.9938,1419.0,127.93
2,0,0,128,66.36,44.1,2.0,0.9974,1441.0,0.9964,1405.0,0.9939,1281.0,120.65
3,0,0,5,68.9,43.8,2.0,0.9974,1508.0,0.9962,1551.0,0.9937,1479.0,119.65
4,0,0,23,69.33,43.9,2.0,0.9974,1266.0,0.9965,1479.0,0.9937,1340.0,128.03
5,0,0,47,66.46,44.0,2.0,0.9974,1451.0,0.9967,1459.0,0.9936,1397.0,119.49
6,0,1,42,75.98,40.9,7.0,0.9974,1567.0,0.9963,1592.0,0.9934,1517.0,125.07
7,0,1,128,75.51,40.9,7.0,0.9973,1564.0,0.9964,1615.0,0.9935,1539.0,124.58
8,0,1,5,75.9,40.7,8.0,0.9973,1537.0,0.9962,1593.0,0.9932,1504.0,125.62
9,0,1,23,75.65,40.8,6.0,0.9973,1581.0,0.9963,1593.0,0.9937,1515.0,124.5
10,0,1,47,75.84,40.8,8.0,0.9973,1595.0,0.9964,1598.0,0.9936,1516.0,124.44
11,1,0,42,66.26,43.8,2.0,0.9974,1423.0,0.9964,1452.0,0.994,1374.0,120.02
12,1,0,128,66.33,43.9,3.0,0.9974,1512.0,0.9964,1591.0,0.994,1507.0,116.74
13,1,0,5,62.68,43.7,2.0,0.9973,1523.0,0.9964,1469.0,0.9936,1405.0,113.72
14,1,0,23,65.66,43.8,2.0,0.9974,1452.0,0.9963,1289.0,0.9939,1415.0,119.42
15,1,0,47,65.33,43.8,2.0,0.9974,1454.0,0.9964,1465.0,0.9938,1281.0,118.85
