exp_id,MIN_LEAF_SIZE,LEAF_SIZE,SEED,build_time_s,avg_degree,max_depth,allknn_recall,allknn_qps,itest_recall,itest_qps,otest_recall,otest_qps,wall_time_s
1,16,128,42,49.39,44.6,5.0,0.975,23321.0,0.9431,22860.0,0.9074,22393.0,55.81
2,16,128,128,49.56,44.6,4.0,0.9748,23519.0,0.9426,23053.0,0.9069,22409.0,56.54
3,16,128,5,49.48,44.4,4.0,0.9749,23746.0,0.9434,23168.0,0.9065,22695.0,56.47
4,16,128,23,49.19,44.5,5.0,0.975,23688.0,0.943,23457.0,0.9067,23041.0,56.26
5,16,128,47,49.26,44.6,4.0,0.9749,23692.0,0.9423,23556.0,0.9062,22829.0,56.26
6,16,256,42,40.29,42.6,3.0,0.9775,23607.0,0.9415,22842.0,0.9054,22685.0,47.25
7,16,256,128,40.22,42.7,3.0,0.9774,24217.0,0.9424,23759.0,0.905,23378.0,47.07
8,16,256,5,39.95,42.5,3.0,0.9776,24573.0,0.9422,24252.0,0.9048,23620.0,46.79
9,16,256,23,40.04,42.6,3.0,0.9775,24343.0,0.9421,23878.0,0.904,23763.0,47.03
10,16,256,47,40.01,42.6,3.0,0.9775,24473.0,0.9415,23925.0,0.9051,23718.0,46.87
11,16,512,42,39.04,42.3,2.0,0.9778,24294.0,0.9423,23999.0,0.903,23619.0,45.92
12,16,512,128,38.86,42.4,2.0,0.9777,24181.0,0.942,23733.0,0.905,23378.0,45.74
13,16,512,5,39.11,42.2,2.0,0.9777,24573.0,0.9416,24162.0,0.9038,22996.0,46.01
14,16,512,23,38.98,42.2,2.0,0.9775,24570.0,0.9415,24112.0,0.9038,23765.0,45.87
15,16,512,47,38.85,42.3,2.0,0.9778,24588.0,0.9417,23865.0,0.9037,23789.0,45.71
16,16,1024,42,38.83,41.3,1.0,0.9776,24517.0,0.9414,24111.0,0.9023,23852.0,45.74
17,16,1024,128,38.67,41.3,1.0,0.9774,24572.0,0.94,24077.0,0.9025,23763.0,45.46
18,16,1024,5,38.71,41.2,1.0,0.9773,24969.0,0.9411,24757.0,0.9024,23886.0,45.46
19,16,1024,23,38.68,41.0,1.0,0.9772,25014.0,0.9399,24800.0,0.9008,24156.0,45.49
