exp_id,K_ENTRY,ENTRY_SAMPLE,SEED,build_time_s,avg_degree,max_depth,allknn_bw32_recall,allknn_bw32_qps,itest_bw32_recall,itest_bw32_qps,otest_bw32_recall,otest_bw32_qps,wall_time_s
1,1,1,42,39.22,44.0,2.0,0.9764,22624.0,0.9418,22333.0,0.9023,21212.0,65.05
2,1,1,128,39.08,44.1,2.0,0.9772,22587.0,0.9412,22371.0,0.904,21451.0,46.2
3,1,1,5,39.28,43.8,2.0,0.9769,22941.0,0.9413,22707.0,0.9013,21794.0,46.34
4,1,1,23,39.01,43.9,2.0,0.9769,22734.0,0.9415,22348.0,0.9036,21469.0,46.11
5,1,1,47,39.01,44.0,2.0,0.9769,22790.0,0.9418,22351.0,0.9044,21958.0,46.06
6,1,15,42,42.12,44.0,2.0,0.9767,21579.0,0.9411,21483.0,0.9035,20657.0,49.4
7,1,15,128,40.55,44.1,2.0,0.9772,21905.0,0.9413,21358.0,0.9035,21078.0,47.8
8,1,15,5,40.81,43.8,2.0,0.977,20795.0,0.9413,21035.0,0.9019,20134.0,48.33
9,1,15,23,40.95,43.9,2.0,0.9768,22766.0,0.9409,22285.0,0.904,21730.0,48.12
10,1,15,47,39.53,44.0,2.0,0.9769,21349.0,0.9418,21170.0,0.9044,21914.0,46.85
11,1,3000,42,40.54,44.0,2.0,0.9767,21796.0,0.9414,21159.0,0.9029,20788.0,47.78
12,1,3000,128,40.35,44.1,2.0,0.9772,22325.0,0.9411,21964.0,0.9031,21397.0,47.57
13,1,3000,5,40.09,43.8,2.0,0.977,22230.0,0.9411,22120.0,0.9015,20911.0,47.32
14,1,3000,23,40.43,43.9,2.0,0.9769,23054.0,0.9414,22598.0,0.9041,22383.0,47.42
15,1,3000,47,40.35,44.0,2.0,0.9769,22381.0,0.9419,22455.0,0.9044,21952.0,47.46
16,12,1,42,39.4,44.0,2.0,0.9764,22420.0,0.9418,22286.0,0.9023,21198.0,46.6
17,12,1,128,39.27,44.1,2.0,0.9772,22430.0,0.9412,22132.0,0.904,21354.0,46.38
18,12,1,5,39.31,43.8,2.0,0.9769,22681.0,0.9413,22487.0,0.9013,21932.0,46.38
19,12,1,23,39.37,43.9,2.0,0.9769,22636.0,0.9415,22338.0,0.9036,21364.0,46.52
20,12,1,47,39.02,44.0,2.0,0.9769,22698.0,0.9418,22466.0,0.9044,21852.0,46.08
21,12,15,42,39.49,44.0,2.0,0.9767,23456.0,0.9412,23158.0,0.9025,22414.0,46.53
22,12,15,128,39.3,44.1,2.0,0.9772,23102.0,0.9409,22906.0,0.9035,22398.0,46.41
23,12,15,5,39.42,43.8,2.0,0.977,22989.0,0.9415,22787.0,0.9021,22663.0,46.51
24,12,15,23,39.36,43.9,2.0,0.9769,23249.0,0.9414,22775.0,0.9037,21885.0,46.52
25,12,15,47,39.32,44.0,2.0,0.977,22488.0,0.9419,22132.0,0.9043,22421.0,46.51
26,12,3000,42,40.25,44.0,2.0,0.9767,22930.0,0.9413,22182.0,0.9033,22426.0,47.4
27,12,3000,128,40.04,44.1,2.0,0.9771,22976.0,0.9409,22725.0,0.9036,22200.0,47.11
28,12,3000,5,40.18,43.8,2.0,0.977,23422.0,0.9414,23179.0,0.9019,22573.0,47.19
29,12,3000,23,40.32,43.9,2.0,0.9768,23392.0,0.9414,22572.0,0.9035,22581.0,47.36
30,12,3000,47,41.24,44.0,2.0,0.9768,23185.0,0.9416,22826.0,0.9045,22678.0,48.33
